pair_id,n,native_correct,native_drift,lsda_correct,lsda_drift,drift_change_lsda_minus_ss,restored,worsened,persistent_failure,both_correct
pair_001,9,9,0,9,0,0,0,0,0,9
pair_002,9,7,2,9,0,-2,2,0,0,7
pair_003,9,1,8,7,2,-6,6,0,2,1
pair_004,9,8,1,9,0,-1,1,0,0,8
pair_005,9,5,4,8,1,-3,3,0,1,5
pair_006,9,5,4,8,1,-3,3,0,1,5
pair_007,9,9,0,9,0,0,0,0,0,9
pair_008,9,7,2,7,2,0,0,0,2,7
pair_009,9,7,2,9,0,-2,2,0,0,7
pair_010,9,8,1,9,0,-1,1,0,0,8
pair_011,9,9,0,8,1,1,0,1,0,8
pair_012,9,4,5,9,0,-5,5,0,0,4
pair_013,9,1,8,8,1,-7,7,0,1,1
pair_014,9,5,4,8,1,-3,3,0,1,5
pair_015,9,2,7,8,1,-6,6,0,1,2
pair_016,9,9,0,8,1,1,0,1,0,8
pair_017,9,8,1,9,0,-1,1,0,0,8
pair_018,9,3,6,8,1,-5,5,0,1,3
pair_019,9,6,3,9,0,-3,3,0,0,6
pair_020,9,4,5,8,1,-4,4,0,1,4
pair_021,9,6,3,8,1,-2,2,0,1,6
pair_022,9,9,0,9,0,0,0,0,0,9
pair_023,9,5,4,8,1,-3,4,1,0,4
pair_024,9,8,1,9,0,-1,1,0,0,8
pair_025,9,2,7,7,2,-5,5,0,2,2
pair_026,9,7,2,9,0,-2,2,0,0,7
pair_027,9,4,5,7,2,-3,3,0,2,4
pair_028,9,7,2,9,0,-2,2,0,0,7
pair_029,9,4,5,9,0,-5,5,0,0,4
pair_030,9,7,2,8,1,-1,2,1,0,6
pair_031,9,5,4,8,1,-3,3,0,1,5
pair_032,9,6,3,9,0,-3,3,0,0,6
pair_033,9,8,1,9,0,-1,1,0,0,8
pair_034,9,6,3,9,0,-3,3,0,0,6
pair_035,9,7,2,7,2,0,1,1,1,6
pair_036,9,4,5,8,1,-4,4,0,1,4
pair_037,9,8,1,9,0,-1,1,0,0,8
pair_038,9,9,0,9,0,0,0,0,0,9
pair_039,9,4,5,9,0,-5,5,0,0,4
pair_040,9,8,1,8,1,0,0,0,1,8
pair_041,9,8,1,9,0,-1,1,0,0,8
pair_042,9,6,3,9,0,-3,3,0,0,6
pair_043,9,6,3,9,0,-3,3,0,0,6
pair_044,9,8,1,9,0,-1,1,0,0,8
pair_045,9,5,4,7,2,-2,3,1,1,4
pair_046,9,1,8,5,4,-4,4,0,4,1
pair_047,9,7,2,9,0,-2,2,0,0,7
pair_048,9,8,1,9,0,-1,1,0,0,8
pair_049,9,7,2,8,1,-1,1,0,1,7
pair_050,9,9,0,9,0,0,0,0,0,9
pair_051,9,8,1,9,0,-1,1,0,0,8
pair_052,9,5,4,8,1,-3,3,0,1,5
pair_053,9,8,1,9,0,-1,1,0,0,8
pair_054,9,6,3,9,0,-3,3,0,0,6
pair_055,9,6,3,7,2,-1,1,0,2,6
pair_056,9,9,0,9,0,0,0,0,0,9
pair_057,9,9,0,9,0,0,0,0,0,9
pair_058,9,5,4,9,0,-4,4,0,0,5
pair_059,9,6,3,9,0,-3,3,0,0,6
pair_060,9,7,2,7,2,0,1,1,1,6
pair_061,9,7,2,9,0,-2,2,0,0,7
pair_062,9,5,4,8,1,-3,3,0,1,5
pair_063,9,6,3,8,1,-2,2,0,1,6
pair_064,9,7,2,9,0,-2,2,0,0,7
pair_065,9,7,2,8,1,-1,1,0,1,7
pair_066,9,7,2,9,0,-2,2,0,0,7
pair_067,9,7,2,8,1,-1,2,1,0,6
pair_068,9,9,0,9,0,0,0,0,0,9
pair_069,9,5,4,9,0,-4,4,0,0,5
pair_070,9,8,1,9,0,-1,1,0,0,8
pair_071,9,4,5,8,1,-4,4,0,1,4
pair_072,9,6,3,9,0,-3,3,0,0,6
pair_073,9,8,1,9,0,-1,1,0,0,8
pair_074,9,9,0,9,0,0,0,0,0,9
pair_075,9,6,3,9,0,-3,3,0,0,6
pair_076,9,3,6,9,0,-6,6,0,0,3
pair_077,9,7,2,9,0,-2,2,0,0,7
pair_078,9,7,2,9,0,-2,2,0,0,7
pair_079,9,8,1,7,2,1,0,1,1,7
pair_080,9,9,0,9,0,0,0,0,0,9
pair_081,9,4,5,9,0,-5,5,0,0,4
pair_082,9,7,2,9,0,-2,2,0,0,7
pair_083,9,4,5,9,0,-5,5,0,0,4
pair_084,9,1,8,9,0,-8,8,0,0,1
pair_085,9,9,0,9,0,0,0,0,0,9
pair_086,9,9,0,9,0,0,0,0,0,9
pair_087,9,8,1,9,0,-1,1,0,0,8
pair_088,9,2,7,9,0,-7,7,0,0,2
pair_089,9,5,4,9,0,-4,4,0,0,5
pair_090,9,3,6,9,0,-6,6,0,0,3
pair_091,9,3,6,9,0,-6,6,0,0,3
pair_092,9,8,1,8,1,0,0,0,1,8
pair_093,9,7,2,9,0,-2,2,0,0,7
pair_094,9,8,1,9,0,-1,1,0,0,8
pair_095,9,7,2,8,1,-1,1,0,1,7
pair_096,9,6,3,8,1,-2,3,1,0,5
pair_097,9,9,0,9,0,0,0,0,0,9
pair_098,9,7,2,9,0,-2,2,0,0,7
pair_099,9,9,0,9,0,0,0,0,0,9
pair_100,9,7,2,9,0,-2,2,0,0,7
