sample_id,pair_id,pair_index,seed_group,replicate,latent_seed,native_eval_id,lsda_eval_id,native_correct,native_drift,lsda_correct,lsda_drift,transition
sample_0001,pair_060,60,1,1,1011,eval_0571,eval_0492,0,1,0,1,persistent_failure
sample_0002,pair_010,10,1,2,1012,eval_0745,eval_1534,1,0,1,0,both_correct
sample_0003,pair_013,13,3,1,3031,eval_0096,eval_1679,0,1,1,0,restored
sample_0004,pair_100,100,2,2,2022,eval_0482,eval_1041,1,0,1,0,both_correct
sample_0005,pair_029,29,2,1,2021,eval_0357,eval_0158,0,1,1,0,restored
sample_0006,pair_054,54,3,2,3032,eval_0186,eval_0647,0,1,1,0,restored
sample_0007,pair_087,87,1,1,1011,eval_0707,eval_0367,1,0,1,0,both_correct
sample_0008,pair_077,77,3,3,3033,eval_1765,eval_0302,0,1,1,0,restored
sample_0009,pair_068,68,2,1,2021,eval_0727,eval_0387,1,0,1,0,both_correct
sample_0010,pair_084,84,3,3,3033,eval_0642,eval_0876,0,1,1,0,restored
sample_0011,pair_099,99,3,2,3032,eval_0691,eval_0578,1,0,1,0,both_correct
sample_0012,pair_093,93,3,2,3032,eval_1274,eval_1687,1,0,1,0,both_correct
sample_0013,pair_051,51,3,2,3032,eval_1211,eval_0632,1,0,1,0,both_correct
sample_0014,pair_026,26,2,2,2022,eval_0257,eval_0353,1,0,1,0,both_correct
sample_0015,pair_100,100,2,3,2023,eval_0033,eval_1076,1,0,1,0,both_correct
sample_0016,pair_018,18,3,1,3031,eval_1468,eval_0147,0,1,1,0,restored
sample_0017,pair_080,80,3,2,3032,eval_0637,eval_1158,1,0,1,0,both_correct
sample_0018,pair_057,57,1,1,1011,eval_0880,eval_0810,1,0,1,0,both_correct
sample_0019,pair_053,53,3,1,3031,eval_0521,eval_0409,1,0,1,0,both_correct
sample_0020,pair_045,45,2,1,2021,eval_0031,eval_1185,1,0,1,0,both_correct
sample_0021,pair_065,65,1,1,1011,eval_0148,eval_1398,0,1,0,1,persistent_failure
sample_0022,pair_041,41,2,1,2021,eval_1685,eval_0219,1,0,1,0,both_correct
sample_0023,pair_086,86,3,1,3031,eval_1722,eval_0796,1,0,1,0,both_correct
sample_0024,pair_029,29,3,2,3032,eval_0190,eval_1693,0,1,1,0,restored
sample_0025,pair_055,55,2,1,2021,eval_0385,eval_1075,1,0,1,0,both_correct
sample_0026,pair_069,69,3,1,3031,eval_0934,eval_1375,0,1,1,0,restored
sample_0027,pair_078,78,2,1,2021,eval_1778,eval_0667,0,1,1,0,restored
sample_0028,pair_039,39,1,1,1011,eval_1328,eval_1453,1,0,1,0,both_correct
sample_0029,pair_079,79,3,2,3032,eval_0813,eval_0824,1,0,1,0,both_correct
sample_0030,pair_088,88,2,2,2022,eval_0611,eval_0789,0,1,1,0,restored
sample_0031,pair_085,85,1,1,1011,eval_0830,eval_0102,1,0,1,0,both_correct
sample_0032,pair_074,74,1,1,1011,eval_1176,eval_1319,1,0,1,0,both_correct
sample_0033,pair_095,95,2,2,2022,eval_0865,eval_1751,1,0,1,0,both_correct
sample_0034,pair_010,10,2,3,2023,eval_0149,eval_1706,1,0,1,0,both_correct
sample_0035,pair_087,87,3,1,3031,eval_1638,eval_1570,0,1,1,0,restored
sample_0036,pair_053,53,1,3,1013,eval_0870,eval_1380,1,0,1,0,both_correct
sample_0037,pair_088,88,3,3,3033,eval_0523,eval_1583,1,0,1,0,both_correct
sample_0038,pair_089,89,2,3,2023,eval_0914,eval_1647,0,1,1,0,restored
sample_0039,pair_073,73,2,3,2023,eval_0993,eval_1776,1,0,1,0,both_correct
sample_0040,pair_006,6,1,1,1011,eval_0722,eval_0567,0,1,0,1,persistent_failure
sample_0041,pair_068,68,2,3,2023,eval_0310,eval_0124,1,0,1,0,both_correct
sample_0042,pair_033,33,1,2,1012,eval_0561,eval_0448,1,0,1,0,both_correct
sample_0043,pair_017,17,2,2,2022,eval_0648,eval_0047,1,0,1,0,both_correct
sample_0044,pair_020,20,3,3,3033,eval_1223,eval_0217,0,1,1,0,restored
sample_0045,pair_027,27,3,1,3031,eval_1128,eval_0159,0,1,1,0,restored
sample_0046,pair_067,67,3,3,3033,eval_1399,eval_1260,1,0,1,0,both_correct
sample_0047,pair_052,52,3,1,3031,eval_1404,eval_1166,1,0,1,0,both_correct
sample_0048,pair_033,33,1,3,1013,eval_0935,eval_1391,0,1,1,0,restored
sample_0049,pair_009,9,2,1,2021,eval_1529,eval_0334,0,1,1,0,restored
sample_0050,pair_058,58,1,2,1012,eval_0834,eval_1748,1,0,1,0,both_correct
sample_0051,pair_097,97,2,3,2023,eval_0131,eval_1292,1,0,1,0,both_correct
sample_0052,pair_047,47,2,1,2021,eval_1596,eval_1225,1,0,1,0,both_correct
sample_0053,pair_011,11,1,2,1012,eval_1711,eval_1234,1,0,1,0,both_correct
sample_0054,pair_046,46,2,2,2022,eval_1600,eval_0450,0,1,0,1,persistent_failure
sample_0055,pair_071,71,3,1,3031,eval_0013,eval_0556,0,1,1,0,restored
sample_0056,pair_021,21,1,3,1013,eval_0589,eval_1572,1,0,1,0,both_correct
sample_0057,pair_097,97,3,1,3031,eval_1779,eval_0223,1,0,1,0,both_correct
sample_0058,pair_024,24,2,3,2023,eval_0049,eval_1365,1,0,1,0,both_correct
sample_0059,pair_018,18,2,2,2022,eval_0364,eval_0635,0,1,1,0,restored
sample_0060,pair_016,16,1,1,1011,eval_1746,eval_1753,1,0,1,0,both_correct
sample_0061,pair_028,28,2,1,2021,eval_0591,eval_0146,1,0,1,0,both_correct
sample_0062,pair_021,21,1,1,1011,eval_0299,eval_0895,1,0,1,0,both_correct
sample_0063,pair_007,7,1,1,1011,eval_0073,eval_0106,1,0,1,0,both_correct
sample_0064,pair_040,40,3,3,3033,eval_0859,eval_0441,1,0,1,0,both_correct
sample_0065,pair_042,42,3,2,3032,eval_0126,eval_1731,1,0,1,0,both_correct
sample_0066,pair_018,18,2,3,2023,eval_1635,eval_1341,1,0,1,0,both_correct
sample_0067,pair_043,43,3,3,3033,eval_0940,eval_0314,1,0,1,0,both_correct
sample_0068,pair_061,61,2,3,2023,eval_0110,eval_1564,1,0,1,0,both_correct
sample_0069,pair_016,16,2,2,2022,eval_1148,eval_0123,1,0,1,0,both_correct
sample_0070,pair_008,8,1,2,1012,eval_1440,eval_0889,1,0,1,0,both_correct
sample_0071,pair_008,8,3,2,3032,eval_0587,eval_0247,1,0,1,0,both_correct
