method,sample_id,pair_id,seed,page
ra_vlm,sample_0068,pair_061,2023,1
ra_vlm,sample_0161,pair_089,2022,1
ra_vlm,sample_0196,pair_066,3033,1
ra_vlm,sample_0244,pair_007,2022,2
ra_vlm,sample_0353,pair_061,2021,2
ra_vlm,sample_0378,pair_042,3031,2
ra_vlm,sample_0399,pair_002,3031,3
ra_vlm,sample_0405,pair_098,2022,3
ra_vlm,sample_0416,pair_014,1012,3
ra_vlm,sample_0431,pair_003,3032,4
ra_vlm,sample_0439,pair_047,1013,4
ra_vlm,sample_0448,pair_089,2021,4
ra_vlm,sample_0514,pair_064,2021,5
ra_vlm,sample_0535,pair_013,2022,5
ra_vlm,sample_0536,pair_027,1013,5
ra_vlm,sample_0545,pair_075,1012,6
ra_vlm,sample_0595,pair_044,2021,6
ra_vlm,sample_0613,pair_068,1012,6
ra_vlm,sample_0637,pair_092,3031,7
ra_vlm,sample_0639,pair_064,1012,7
ra_vlm,sample_0645,pair_044,3031,7
ra_vlm,sample_0655,pair_087,2023,8
ra_vlm,sample_0727,pair_056,2022,8
ra_vlm,sample_0739,pair_080,2021,8
ra_vlm,sample_0752,pair_021,3031,9
ra_vlm,sample_0754,pair_066,3031,9
ra_vlm,sample_0764,pair_074,2022,9
ra_vlm,sample_0772,pair_007,1013,10
ra_vlm,sample_0830,pair_090,3032,10
ra_vlm,sample_0842,pair_061,1011,10
