eval_id,sample_id,pair_id,seed_group,replicate,latent_seed,condition,qwen_correct,gemini_correct,dual_vlm_correct,automated_consensus_correct
eval_0001,sample_0424,pair_032,3,2,3032,native_SS,1,0,0,0
eval_0002,sample_0643,pair_036,3,3,3033,native_SS,0,0,0,0
eval_0003,sample_0564,pair_031,3,1,3031,lsda_clean,1,1,1,0
eval_0004,sample_0354,pair_036,3,2,3032,lsda_clean,1,1,1,0
eval_0005,sample_0500,pair_059,2,3,2023,lsda_clean,1,0,0,0
eval_0006,sample_0179,pair_096,2,3,2023,native_SS,0,0,0,1
eval_0007,sample_0423,pair_082,2,2,2022,lsda_clean,1,1,1,0
eval_0008,sample_0897,pair_042,2,2,2022,lsda_clean,1,0,0,0
eval_0009,sample_0744,pair_096,3,2,3032,native_SS,1,1,1,0
eval_0010,sample_0592,pair_021,2,2,2022,lsda_clean,1,1,1,0
eval_0011,sample_0461,pair_084,2,2,2022,lsda_clean,1,1,1,1
eval_0012,sample_0250,pair_100,3,3,3033,lsda_clean,1,1,1,0
eval_0013,sample_0055,pair_071,3,1,3031,native_SS,0,0,0,0
eval_0014,sample_0446,pair_091,3,1,3031,native_SS,0,0,0,0
eval_0015,sample_0662,pair_005,3,1,3031,lsda_clean,1,1,1,0
eval_0016,sample_0434,pair_026,3,1,3031,native_SS,0,0,0,0
eval_0017,sample_0277,pair_100,1,3,1013,lsda_clean,1,1,1,0
eval_0018,sample_0763,pair_071,1,2,1012,lsda_clean,1,1,1,1
eval_0019,sample_0469,pair_036,1,1,1011,native_SS,0,0,0,0
eval_0020,sample_0841,pair_001,3,3,3033,native_SS,1,1,1,1
eval_0021,sample_0114,pair_040,1,3,1013,native_SS,1,0,0,0
eval_0022,sample_0609,pair_032,1,3,1013,native_SS,0,0,0,0
eval_0023,sample_0651,pair_069,1,1,1011,native_SS,0,0,0,0
eval_0024,sample_0225,pair_028,3,3,3033,lsda_clean,1,1,1,1
eval_0025,sample_0261,pair_004,1,1,1011,lsda_clean,1,1,1,0
eval_0026,sample_0421,pair_033,3,3,3033,lsda_clean,1,1,1,0
eval_0027,sample_0366,pair_098,3,2,3032,lsda_clean,1,1,1,0
eval_0028,sample_0228,pair_037,2,3,2023,lsda_clean,1,1,1,0
eval_0029,sample_0168,pair_044,2,3,2023,lsda_clean,1,1,1,0
eval_0030,sample_0729,pair_065,3,2,3032,lsda_clean,1,1,1,0
eval_0031,sample_0020,pair_045,2,1,2021,native_SS,1,0,0,0
eval_0032,sample_0693,pair_006,2,1,2021,lsda_clean,1,0,0,0
eval_0033,sample_0015,pair_100,2,3,2023,native_SS,1,1,1,0
eval_0034,sample_0596,pair_017,1,2,1012,native_SS,1,0,0,1
eval_0035,sample_0156,pair_092,1,2,1012,native_SS,1,1,1,1
eval_0036,sample_0675,pair_076,1,2,1012,lsda_clean,1,1,1,1
eval_0037,sample_0813,pair_052,2,1,2021,native_SS,1,1,1,1
eval_0038,sample_0322,pair_049,1,1,1011,lsda_clean,0,1,0,0
eval_0039,sample_0214,pair_051,2,3,2023,lsda_clean,1,1,1,1
eval_0040,sample_0448,pair_089,2,1,2021,lsda_clean,1,1,1,1
eval_0041,sample_0541,pair_069,2,3,2023,lsda_clean,1,1,1,0
eval_0042,sample_0169,pair_037,2,1,2021,native_SS,1,1,1,0
eval_0043,sample_0345,pair_028,1,2,1012,native_SS,0,0,0,0
eval_0044,sample_0495,pair_023,2,1,2021,lsda_clean,1,1,1,1
eval_0045,sample_0449,pair_072,1,3,1013,lsda_clean,1,1,1,0
eval_0046,sample_0353,pair_061,2,1,2021,native_SS,0,0,0,0
eval_0047,sample_0043,pair_017,2,2,2022,lsda_clean,1,1,1,0
eval_0048,sample_0149,pair_077,2,2,2022,native_SS,1,1,1,0
eval_0049,sample_0058,pair_024,2,3,2023,native_SS,1,0,0,1
eval_0050,sample_0218,pair_008,1,1,1011,lsda_clean,1,1,1,1
eval_0051,sample_0839,pair_097,3,2,3032,lsda_clean,1,1,1,0
eval_0052,sample_0733,pair_056,2,3,2023,native_SS,1,0,0,0
eval_0053,sample_0613,pair_068,1,2,1012,native_SS,1,1,1,0
eval_0054,sample_0652,pair_058,3,3,3033,lsda_clean,1,1,1,1
eval_0055,sample_0832,pair_078,3,1,3031,lsda_clean,1,1,1,0
eval_0056,sample_0076,pair_023,1,3,1013,native_SS,0,0,0,0
eval_0057,sample_0432,pair_028,1,1,1011,lsda_clean,1,1,1,0
eval_0058,sample_0659,pair_082,3,2,3032,lsda_clean,1,1,1,1
eval_0059,sample_0244,pair_007,2,2,2022,lsda_clean,1,1,1,1
eval_0060,sample_0123,pair_013,3,2,3032,native_SS,0,0,0,0
eval_0061,sample_0259,pair_078,2,2,2022,native_SS,0,0,0,0
eval_0062,sample_0532,pair_054,2,3,2023,native_SS,1,0,0,0
eval_0063,sample_0364,pair_088,2,1,2021,lsda_clean,1,1,1,0
eval_0064,sample_0488,pair_099,2,3,2023,lsda_clean,1,1,1,0
eval_0065,sample_0545,pair_075,1,2,1012,native_SS,0,0,0,0
eval_0066,sample_0580,pair_034,3,1,3031,lsda_clean,1,1,1,1
eval_0067,sample_0883,pair_003,1,1,1011,native_SS,0,0,0,0
eval_0068,sample_0257,pair_019,2,1,2021,native_SS,0,0,0,0
eval_0069,sample_0848,pair_058,2,3,2023,native_SS,0,0,0,0
eval_0070,sample_0777,pair_012,1,2,1012,lsda_clean,1,0,0,0
eval_0071,sample_0768,pair_009,1,1,1011,native_SS,1,1,1,0
eval_0072,sample_0794,pair_051,1,3,1013,native_SS,1,1,1,0
eval_0073,sample_0063,pair_007,1,1,1011,native_SS,1,1,1,0
eval_0074,sample_0650,pair_030,2,2,2022,native_SS,1,1,1,0
eval_0075,sample_0085,pair_098,2,3,2023,native_SS,1,1,1,0
eval_0076,sample_0360,pair_061,1,3,1013,native_SS,1,1,1,1
eval_0077,sample_0557,pair_052,3,2,3032,lsda_clean,1,0,0,0
eval_0078,sample_0387,pair_080,2,2,2022,lsda_clean,1,1,1,1
eval_0079,sample_0625,pair_075,2,1,2021,native_SS,1,1,1,0
eval_0080,sample_0141,pair_091,3,3,3033,lsda_clean,1,1,1,1
eval_0081,sample_0217,pair_056,2,1,2021,native_SS,1,0,0,0
eval_0082,sample_0686,pair_077,3,1,3031,lsda_clean,1,1,1,0
eval_0083,sample_0499,pair_079,1,1,1011,native_SS,0,0,0,0
eval_0084,sample_0821,pair_050,3,1,3031,native_SS,1,1,1,1
eval_0085,sample_0554,pair_069,1,2,1012,lsda_clean,1,1,1,0
eval_0086,sample_0341,pair_070,3,3,3033,lsda_clean,1,1,1,1
eval_0087,sample_0192,pair_085,3,3,3033,native_SS,1,1,1,0
eval_0088,sample_0503,pair_092,1,3,1013,lsda_clean,1,1,1,1
eval_0089,sample_0127,pair_047,2,3,2023,lsda_clean,1,1,1,0
eval_0090,sample_0895,pair_046,3,2,3032,native_SS,0,0,0,0
eval_0091,sample_0467,pair_058,1,3,1013,lsda_clean,1,1,1,1
eval_0092,sample_0615,pair_059,2,1,2021,native_SS,1,0,0,0
eval_0093,sample_0280,pair_063,3,2,3032,lsda_clean,1,1,1,1
eval_0094,sample_0145,pair_027,2,3,2023,native_SS,0,0,0,0
eval_0095,sample_0368,pair_015,1,3,1013,native_SS,0,0,0,0
eval_0096,sample_0003,pair_013,3,1,3031,native_SS,0,0,0,0
eval_0097,sample_0856,pair_091,2,3,2023,lsda_clean,1,0,0,1
eval_0098,sample_0764,pair_074,2,2,2022,native_SS,1,1,1,1
eval_0099,sample_0256,pair_057,1,2,1012,native_SS,1,1,1,0
eval_0100,sample_0475,pair_034,1,3,1013,native_SS,1,0,0,0
eval_0101,sample_0514,pair_064,2,1,2021,native_SS,1,0,0,0
eval_0102,sample_0031,pair_085,1,1,1011,lsda_clean,1,1,1,0
eval_0103,sample_0790,pair_005,2,1,2021,native_SS,0,0,0,0
eval_0104,sample_0457,pair_055,3,3,3033,lsda_clean,1,1,1,0
eval_0105,sample_0488,pair_099,2,3,2023,native_SS,1,1,1,1
eval_0106,sample_0063,pair_007,1,1,1011,lsda_clean,1,1,1,1
eval_0107,sample_0749,pair_012,1,1,1011,native_SS,1,0,0,0
eval_0108,sample_0806,pair_076,3,1,3031,lsda_clean,1,1,1,0
eval_0109,sample_0637,pair_092,3,1,3031,lsda_clean,1,1,1,1
eval_0110,sample_0068,pair_061,2,3,2023,native_SS,1,0,0,0
eval_0111,sample_0708,pair_014,2,1,2021,native_SS,1,0,0,1
eval_0112,sample_0104,pair_006,2,2,2022,native_SS,1,1,1,0
eval_0113,sample_0553,pair_037,3,3,3033,native_SS,0,0,0,0
eval_0114,sample_0622,pair_096,1,3,1013,native_SS,0,0,0,0
eval_0115,sample_0696,pair_063,2,3,2023,lsda_clean,1,1,1,0
eval_0116,sample_0732,pair_096,2,2,2022,lsda_clean,1,0,0,0
eval_0117,sample_0468,pair_022,2,3,2023,lsda_clean,1,1,1,0
eval_0118,sample_0466,pair_032,3,3,3033,native_SS,0,0,0,0
eval_0119,sample_0611,pair_001,2,2,2022,lsda_clean,1,1,1,1
eval_0120,sample_0079,pair_083,3,3,3033,lsda_clean,1,1,1,1
eval_0121,sample_0593,pair_019,3,1,3031,native_SS,1,0,0,0
eval_0122,sample_0492,pair_009,3,2,3032,lsda_clean,1,1,1,0
eval_0123,sample_0069,pair_016,2,2,2022,lsda_clean,1,1,1,0
eval_0124,sample_0041,pair_068,2,3,2023,lsda_clean,1,1,1,1
eval_0125,sample_0416,pair_014,1,2,1012,native_SS,0,0,0,0
eval_0126,sample_0065,pair_042,3,2,3032,native_SS,1,1,1,0
eval_0127,sample_0542,pair_052,1,3,1013,lsda_clean,1,1,1,0
eval_0128,sample_0568,pair_028,3,1,3031,lsda_clean,1,1,1,0
eval_0129,sample_0339,pair_061,3,3,3033,native_SS,0,0,0,0
eval_0130,sample_0204,pair_004,1,2,1012,native_SS,1,1,1,0
eval_0131,sample_0051,pair_097,2,3,2023,native_SS,1,1,1,1
eval_0132,sample_0869,pair_078,2,3,2023,lsda_clean,1,1,1,1
eval_0133,sample_0142,pair_076,2,1,2021,native_SS,0,0,0,0
eval_0134,sample_0351,pair_050,3,3,3033,lsda_clean,1,0,0,0
eval_0135,sample_0739,pair_080,2,1,2021,native_SS,1,0,0,0
eval_0136,sample_0738,pair_058,3,1,3031,lsda_clean,1,1,1,0
eval_0137,sample_0105,pair_002,2,3,2023,lsda_clean,1,1,1,0
eval_0138,sample_0181,pair_089,3,1,3031,native_SS,1,1,1,1
eval_0139,sample_0186,pair_088,3,2,3032,lsda_clean,1,1,1,1
eval_0140,sample_0245,pair_006,3,3,3033,lsda_clean,1,1,1,1
eval_0141,sample_0459,pair_012,2,1,2021,lsda_clean,1,1,1,0
eval_0142,sample_0077,pair_045,1,1,1011,lsda_clean,1,1,1,0
eval_0143,sample_0210,pair_080,1,2,1012,native_SS,1,1,1,1
eval_0144,sample_0095,pair_003,2,3,2023,native_SS,0,0,0,0
