siglip loaded (bfloat16)
siglip: 20 rows, 14s
siglip: 40 rows, 27s
siglip: 60 rows, 41s
siglip: 80 rows, 55s
siglip: 100 rows, 68s
siglip: 120 rows, 81s
siglip: 140 rows, 94s
siglip: 160 rows, 107s
siglip: 180 rows, 121s
siglip: 200 rows, 134s
siglip: 220 rows, 148s
siglip: 240 rows, 165s
siglip: 260 rows, 181s
siglip: 280 rows, 196s
siglip: 300 rows, 212s
siglip: 320 rows, 227s
siglip: 340 rows, 242s
siglip: 360 rows, 258s
siglip: 380 rows, 274s
siglip: 400 rows, 290s
siglip: 420 rows, 305s
siglip: 440 rows, 321s
siglip: 460 rows, 336s
siglip: 480 rows, 352s
siglip: 500 rows, 368s
siglip: 520 rows, 383s
siglip: 540 rows, 399s
siglip: 560 rows, 414s
siglip: 580 rows, 430s
siglip rows=599 in 444s -> D:\Python\MMDIT\experiment\2026_9_12_EXP_3_KA_ME\ratings\metric_siglip.jsonl
