shard 0/4: 75 samples, threads=8
device=cpu
[1] native_p001_s1011 clip_i=drift clip_t=correct dino=drift
[2] routed_p001_s1011 clip_i=drift clip_t=drift dino=drift
[3] uniform_p001_s1011 clip_i=drift clip_t=drift dino=drift
[4] native_p002_s1012 clip_i=drift clip_t=drift dino=correct
[5] routed_p002_s1012 clip_i=drift clip_t=drift dino=correct
[6] uniform_p002_s1012 clip_i=drift clip_t=drift dino=correct
[7] native_p003_s1013 clip_i=correct clip_t=correct dino=correct
[8] routed_p003_s1013 clip_i=correct clip_t=correct dino=correct
[9] uniform_p003_s1013 clip_i=correct clip_t=drift dino=correct
[10] native_p005_s1011 clip_i=drift clip_t=correct dino=correct
[11] routed_p005_s1011 clip_i=drift clip_t=drift dino=correct
[12] uniform_p005_s1011 clip_i=drift clip_t=correct dino=correct
[13] native_p006_s1012 clip_i=drift clip_t=drift dino=drift
[14] native_p007_s1013 clip_i=drift clip_t=drift dino=drift
[15] routed_p007_s1013 clip_i=correct clip_t=correct dino=correct
[16] uniform_p007_s1013 clip_i=correct clip_t=correct dino=correct
[17] native_p009_s1011 clip_i=drift clip_t=drift dino=drift
[18] native_p010_s1012 clip_i=drift clip_t=drift dino=drift
[19] routed_p010_s1012 clip_i=drift clip_t=correct dino=correct
[20] uniform_p010_s1012 clip_i=drift clip_t=drift dino=correct
[21] native_p011_s1013 clip_i=drift clip_t=drift dino=correct
[22] routed_p011_s1013 clip_i=drift clip_t=drift dino=correct
[23] uniform_p011_s1013 clip_i=correct clip_t=drift dino=correct
[24] native_p013_s1011 clip_i=drift clip_t=drift dino=drift
[25] routed_p013_s1011 clip_i=correct clip_t=correct dino=correct
[26] uniform_p013_s1011 clip_i=correct clip_t=correct dino=correct
[27] native_p014_s1012 clip_i=drift clip_t=drift dino=drift
[28] routed_p014_s1012 clip_i=drift clip_t=drift dino=drift
[29] uniform_p014_s1012 clip_i=drift clip_t=drift dino=drift
[30] native_p015_s1013 clip_i=drift clip_t=correct dino=drift
[31] routed_p015_s1013 clip_i=drift clip_t=correct dino=drift
[32] uniform_p015_s1013 clip_i=drift clip_t=correct dino=drift
[33] native_p017_s1011 clip_i=drift clip_t=drift dino=drift
[34] routed_p017_s1011 clip_i=drift clip_t=drift dino=drift
[35] uniform_p017_s1011 clip_i=drift clip_t=drift dino=drift
[36] native_p018_s1012 clip_i=drift clip_t=drift dino=drift
[37] routed_p018_s1012 clip_i=drift clip_t=correct dino=correct
[38] uniform_p018_s1012 clip_i=drift clip_t=correct dino=correct
[39] native_p019_s1013 clip_i=drift clip_t=drift dino=drift
[40] routed_p019_s1013 clip_i=correct clip_t=correct dino=drift
[41] uniform_p019_s1013 clip_i=drift clip_t=drift dino=drift
[42] native_p021_s1011 clip_i=drift clip_t=drift dino=drift
[43] routed_p021_s1011 clip_i=drift clip_t=correct dino=drift
[44] uniform_p021_s1011 clip_i=correct clip_t=drift dino=drift
[45] native_p022_s1012 clip_i=correct clip_t=correct dino=correct
[46] routed_p022_s1012 clip_i=correct clip_t=correct dino=correct
[47] uniform_p022_s1012 clip_i=correct clip_t=correct dino=correct
[48] native_p023_s1013 clip_i=drift clip_t=drift dino=drift
[49] routed_p023_s1013 clip_i=correct clip_t=correct dino=drift
[50] uniform_p023_s1013 clip_i=correct clip_t=correct dino=drift
[51] native_p025_s1011 clip_i=drift clip_t=correct dino=correct
[52] routed_p025_s1011 clip_i=drift clip_t=drift dino=drift
[53] uniform_p025_s1011 clip_i=correct clip_t=drift dino=correct
[54] native_p026_s1012 clip_i=drift clip_t=drift dino=drift
[55] routed_p026_s1012 clip_i=drift clip_t=drift dino=correct
[56] uniform_p026_s1012 clip_i=drift clip_t=drift dino=correct
[57] native_p027_s1013 clip_i=drift clip_t=drift dino=drift
[58] routed_p027_s1013 clip_i=drift clip_t=correct dino=correct
[59] uniform_p027_s1013 clip_i=drift clip_t=correct dino=correct
[60] native_p029_s1011 clip_i=drift clip_t=drift dino=drift
[61] routed_p029_s1011 clip_i=drift clip_t=drift dino=drift
[62] uniform_p029_s1011 clip_i=correct clip_t=correct dino=correct
[63] native_p030_s1012 clip_i=drift clip_t=drift dino=drift
[64] routed_p030_s1012 clip_i=drift clip_t=drift dino=drift
[65] uniform_p030_s1012 clip_i=drift clip_t=drift dino=drift
[66] native_p031_s1013 clip_i=correct clip_t=drift dino=correct
[67] native_p033_s1011 clip_i=drift clip_t=drift dino=correct
[68] routed_p033_s1011 clip_i=correct clip_t=correct dino=correct
[69] uniform_p033_s1011 clip_i=correct clip_t=correct dino=correct
[70] native_p034_s1012 clip_i=correct clip_t=correct dino=correct
[71] routed_p034_s1012 clip_i=correct clip_t=correct dino=correct
[72] uniform_p034_s1012 clip_i=correct clip_t=correct dino=correct
[73] native_p035_s1013 clip_i=drift clip_t=drift dino=drift
[74] routed_p035_s1013 clip_i=drift clip_t=drift dino=drift
[75] uniform_p035_s1013 clip_i=correct clip_t=drift dino=drift
[76] native_p037_s1011 clip_i=correct clip_t=drift dino=correct
[77] routed_p037_s1011 clip_i=drift clip_t=correct dino=drift
[78] uniform_p037_s1011 clip_i=drift clip_t=correct dino=drift
