model=clip device=cpu
clip: 25 done, 26s
clip: 50 done, 52s
clip: 75 done, 77s
clip: 100 done, 102s
clip: 125 done, 126s
clip: 150 done, 151s
clip: 175 done, 173s
clip: 200 done, 192s
clip: 225 done, 211s
clip: 250 done, 232s
clip: 275 done, 252s
clip: 300 done, 272s
clip: 325 done, 292s
clip: 350 done, 311s
clip: 375 done, 331s
clip: 400 done, 356s
clip: 425 done, 381s
clip: 450 done, 411s
clip: 475 done, 437s
clip: 500 done, 462s
clip: 525 done, 487s
clip: 550 done, 516s
clip: 575 done, 541s
clip: 600 done, 568s
clip: 625 done, 593s
clip: 650 done, 619s
clip: 675 done, 646s
clip: 700 done, 673s
clip: 725 done, 699s
clip: 750 done, 727s
clip: 775 done, 752s
saved 798 rows (clip) in 774s -> D:\Python\MMDIT\experiment\2026_9_12_EXP_3_KA_ME\ratings\objective_clip.jsonl
