model=dino device=cpu
dino: 25 done, 24s
dino: 50 done, 48s
dino: 75 done, 73s
dino: 100 done, 97s
dino: 125 done, 120s
dino: 150 done, 144s
dino: 175 done, 167s
dino: 200 done, 191s
dino: 225 done, 214s
dino: 250 done, 240s
dino: 275 done, 264s
dino: 300 done, 288s
dino: 325 done, 312s
dino: 350 done, 336s
dino: 375 done, 361s
dino: 400 done, 384s
dino: 425 done, 408s
dino: 450 done, 437s
dino: 475 done, 462s
dino: 500 done, 486s
dino: 525 done, 510s
dino: 550 done, 537s
dino: 575 done, 560s
dino: 600 done, 585s
dino: 625 done, 609s
dino: 650 done, 633s
dino: 675 done, 659s
dino: 700 done, 685s
dino: 725 done, 709s
dino: 750 done, 736s
dino: 775 done, 760s
saved 798 rows (dino) in 781s -> D:\Python\MMDIT\experiment\2026_9_12_EXP_3_KA_ME\ratings\objective_dino.jsonl
